Crop year,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Angola,20,30,35,20,25,10,20,40,30,20,20,20,20,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30
Bolivia,25,30,30,35,35,40,40,45,45,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Brazil,"8,200","8,500","8,900","9,100","9,300","10,100","11,000","11,500","12,200","12,700","13,200","13,590","13,750","14,200","14,946","15,540","16,331","17,125","17,660","18,390","19,132","19,720","20,330","20,085","20,333","20,500","20,500","20,500"
Burundi,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2
Ecuador,350,350,350,350,350,350,300,300,300,230,200,200,150,150,150,150,150,150,150,150,150,150,150,155,155,155,155,155
Indonesia,"1,242","1,280","1,319","1,359","1,400","1,443","1,486","1,532","1,578","1,626","1,676","2,000","1,779","1,833","2,000","2,500","2,833","3,333","3,333","3,333","3,333","3,667","3,900","4,167","4,333","4,500","4,600","4,700"
Madagascar,350,300,350,360,167,167,167,167,167,56,89,128,217,333,467,467,467,467,467,467,467,450,430,410,390,370,360,350
Malawi,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Papua New Guinea,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
Paraguay,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Peru,190,190,200,200,200,200,200,200,200,200,200,200,220,220,220,220,220,220,250,250,250,250,250,250,250,250,250,250
Rwanda,1,1,1,1,1,1,1,3,3,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Timor-Leste,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,8,8,8,8,8,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Congo, Rep. of",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cuba,213,213,195,194,194,194,189,195,200,200,213,220,224,224,224,224,224,224,220,220,220,220,220,220,220,220,220,220
Dominican Republic,320,320,320,320,330,350,325,325,325,325,325,340,340,340,378,378,378,378,378,378,378,378,378,383,388,388,390,390
Haiti,220,330,330,330,330,330,330,330,330,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Philippines,720,750,750,770,790,810,831,853,810,862,820,821,829,917,"1,020","1,040","1,060","1,060","1,720","1,820","2,125","2,175","2,325","2,550","2,800","3,000","3,000","3,000"
Tanzania,4,4,19,18,18,14,17,17,17,14,15,15,15,27,37,47,47,47,47,47,47,59,72,73,77,92,91,92
Zambia,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,83,83,83,100,100,100,100,100,100,100,75,69,69,69,69,69,69,69,69,69,68,70,72,73,75,76,77,78
Central African Republic,28,28,28,25,15,10,10,10,19,21,3,3,4,4,3,3,3,3,5,8,10,13,17,20,20,20,20,20
Colombia,"1,235","1,400","1,300","1,400","1,375","1,500","1,600","1,600","1,600","1,400","1,400","1,400","1,400","1,400","1,400","1,400","1,195","1,281","1,291","1,270","1,308","1,439","1,441","1,469","1,505","1,672","1,736","1,800"
"Congo, Dem. Rep. of",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Costa Rica,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,268,295,407,381,423,335,381,449,329,353
C̫te d'Ivoire,50,50,50,50,50,50,50,50,50,50,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317
El Salvador,180,180,230,230,230,270,230,192,192,153,144,153,153,153,173,224,254,251,244,268,276,273,277,275,280,285,292,300
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,"1,200","1,264","1,331","1,402","1,476","1,555","1,637","1,724","1,816","1,912","2,014","2,121","2,234","2,353","2,478","2,609","2,748","2,894","3,048","3,210","3,383","3,383","3,400","3,550","3,625","3,700","3,725","3,700"
Gabon,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Ghana,17,17,17,17,28,28,3,3,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Guatemala,300,300,300,310,310,310,300,300,300,300,300,300,300,300,300,300,300,300,335,320,340,350,360,370,380,390,390,395
Guinea,25,25,63,33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Guyana,,,,,,,,,5,4,2,4,4,5,6,6,6,7,8,8,9,9,9,9,9,9,9,9
Honduras,188,257,240,230,253,161,168,161,138,168,230,200,200,200,230,230,230,245,268,307,335,340,345,350,355,365,370,375
India,903,917,917,833,833,833,833,833,833,917,"1,000","1,067","1,133","1,167","1,250","1,337","1,417","1,500","1,573","1,700","1,800","1,917","2,000","2,100","2,200","2,250","2,300","2,350"
Jamaica,7,11,6,10,15,15,18,20,15,11,12,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Kenya,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Lao, People's Dem. Rep. of",,,,,,,,,0,0,0,0,158,103,135,140,140,140,150,150,150,150,150,150,150,150,150,150
Liberia,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mexico,"1,374","1,200","1,300","1,070","1,020","1,179","1,235","1,201","1,108","1,150","1,305","1,500","1,500","1,500","1,500","1,725","2,000","2,200","2,200","2,200","2,354","2,354","2,354","2,321","2,347","2,329","2,360","2,400"
Nepal,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,34,138,66,109,90,112,95,123,127,130,175,177,180,182,184,187,189,192,194,197,203,205,208,210,212,215,215,215
Nigeria,28,36,36,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Panama,63,67,67,67,77,77,77,81,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
Sierra Leone,9,9,9,5,5,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sri Lanka,67,67,28,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35
Thailand,188,220,233,250,283,417,333,390,433,433,500,500,500,500,500,500,500,550,600,700,775,"1,100","1,130","1,200","1,250","1,300","1,300","1,300"
Togo,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0
Trinidad & Tobago,8,12,10,10,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,10,10,10,10,10,10,10,10
Uganda,70,75,75,75,80,80,80,101,116,119,142,141,140,131,140,150,175,180,185,189,204,210,216,221,229,234,240,245
Venezuela,782,815,850,886,923,962,"1,003","1,046","1,090","1,136","1,184","1,234","1,286","1,341","1,397","1,457","1,518","1,582","1,649","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650"
Vietnam,150,230,250,267,267,282,298,314,332,350,402,461,519,607,696,800,917,938,"1,021","1,208","1,583","1,650","1,825","2,000","2,200","2,300","2,400","2,500"
Yemen,,,,,,,,,0,0,0,0,0,146,136,138,138,130,130,130,130,130,130,130,130,130,130,130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,